question,response
"This substance is highly corrosive to most metals when moisture is present.  It reacts violently with water, producing a gas that irritates mucous membranes. What is the most likely substance based on this description, and how should it be handled according to the IMDG Code?","The substance described is most likely hydrochloric acid (HCl).  

According to the IMDG Code, hydrochloric acid is categorized as a corrosive substance (Category C) under the Shipping Group I (SGG1) designation. This means it poses a significant risk to human health and the environment.

Here are key handling guidelines from the IMDG Code for hydrochloric acid:

* Packaging: Must be transported in tightly sealed, corrosion-resistant containers. The IMDG Code may specify certain packaging types and markings depending on the concentration of hydrochloric acid.
* Stowage: Keep hydrochloric acid away from incompatible materials, especially those that react violently with acids, such as bases, metals, and oxidizing agents. Segregate it according to the IMDG Code's Dangerous Goods Segregation table.

* Labeling:  Containers must be clearly labeled with the appropriate IMDG Code hazard labels (corrosive), UN number (1789 for hydrochloric acid), and proper shipping name.

* Emergency Procedures: In the event of a spill or leak, follow the emergency procedures outlined in the IMDG Code's Supplement and the Safety Data Sheet (SDS) for hydrochloric acid. This may include using appropriate personal protective equipment (PPE), neutralizing the acid with a suitable alkali, and containing the spill to prevent environmental contamination.


Remember: It is crucial to consult the latest edition of the IMDG Code and the SDS for hydrochloric acid to ensure safe and compliant handling."
"According to the IMDG Code, what are the authorized packaging options for shipping wet phosphorus (UN 1381), and what are the maximum net mass limits for each option?","The IMDG Code authorizes several packaging options for shipping wet phosphorus (UN 1381), subject to the general provisions of 4.1.1 and 4.1.3.

Here's a breakdown of the authorized packagings and their maximum net mass limits:

* Combination Packagings:

    * Outer Packagings:  (4A, 4B, 4N, 4C1, 4C2, 4D, or 4F) with a maximum net mass of 75 kg.
    * Inner Packagings:

        * (i) Hermetically sealed metal cans, with a maximum net mass of 15 kg.
        * (ii) Glass inner packagings cushioned on all sides with dry, absorbent, non-combustible material in a quantity sufficient to absorb the entire contents, with a maximum net mass of 2 kg.

* Drums: (1A1, 1A2, 1B1, 1B2, 1N1, or 1N2) with a maximum net mass of 400 kg.

* Jerricans: (3A1 or 3B1) with a maximum net mass of 120 kg.

 It's crucial to remember that these packagings must be capable of passing the leakproofness test specified in 6.1.5.4 at the packing group II performance level."
What are the requirements regarding the filling of MEGCs according to the IMDG Code?,"The filling of MEGCs (Multiple-Element Gas Containers) is subject to specific requirements outlined in the IMDG Code. Firstly, each element within the MEGC must be filled according to the working pressures, filling ratios, and provisions specified in packing instruction P200 for the particular gas being transported. The overall filling of the MEGC, or a group of elements, cannot exceed the lowest working pressure of any individual element.

Secondly, the MEGC's gross mass must not exceed its maximum permissible gross mass during filling.

Thirdly, isolation valves must be closed after filling and remain closed throughout transportation. This is particularly crucial for toxic gases of Class 2.3, which must only be transported in MEGCs where each element is equipped with an isolation valve.

Fourthly, the opening(s) used for filling must be sealed with leakproof caps or plugs. The shipper is responsible for verifying the leakproofness of all closures and equipment after the filling process.

Finally, MEGCs should not be offered for filling if they are damaged to the extent that the integrity of the pressure receptacles or their structural or service equipment may be compromised."
A shipment of Class 3 flammable liquids is being prepared for transport by sea. What are the key considerations regarding quantity limitations that need to be addressed based on the IMDG Code and local port regulations?,"When preparing a shipment of Class 3 flammable liquids for sea transport, quantity limitations are crucial considerations governed by both the IMDG Code and local port regulations.

Firstly, the IMDG Code provides general quantity limitations for different classes of dangerous goods. For Class 3 flammable liquids, these limitations depend on the packing group (I, II, or III) assigned based on the liquid's flashpoint and other hazardous properties. The IMDG Code will specify maximum allowable quantities per package, per container, and sometimes per vessel, depending on the specific flammable liquid being transported.

Secondly, local port regulations often impose stricter quantity limitations than those outlined in the IMDG Code.  These regulations can vary significantly from port to port.

It is essential to consult the following sources to determine applicable quantity limitations:

- The IMDG Code: Review the relevant sections for Class 3 flammable liquids, paying close attention to the packing group assigned to the specific liquid.
- Local Port Authorities: Contact the port authorities at both the loading and discharge ports to inquire about their specific quantity limitations for Class 3 flammable liquids. These limitations may be detailed in port byelaws or other official documents.

Failure to comply with quantity limitations can result in delays, fines, or even the refusal to load the cargo. Therefore, it is crucial to thoroughly research and understand all applicable quantity limitations before proceeding with the shipment."
"What is the maximum working pressure for compressed gases in a pressure receptacle, and what should be done if no value is given in the packing instructions?","The IMDG Code states that the maximum working pressure for compressed gases in a pressure receptacle should not exceed two-thirds of the test pressure if no specific value is given in the packing instructions.  The test pressure is a value determined during the manufacturing process and represents the pressure the receptacle can withstand without failing.  Therefore, the working pressure, which is the pressure at which the gas is filled into the receptacle, must be kept below two-thirds of this test pressure for safety reasons."
"According to the IMDG Code, what is the formula for converting degrees Celsius (°C) to degrees Fahrenheit (°F)?","The formula for converting degrees Celsius (°C) to degrees Fahrenheit (°F) according to the IMDG Code is: 
°F = (°C × 9/5) + 32"
"According to the IMDG Code entry for AMMONIUM HYDROGEN SULPHATE (UN 2506), what are the applicable stowage and segregation requirements?","The IMDG Code entry for AMMONIUM HYDROGEN SULPHATE (UN 2506) indicates the following stowage and segregation requirements:

- Stowage: The stowage category is ""A,"" meaning it can be stowed ""on deck"" or ""under deck"" away from living quarters.

- Segregation: The segregation code is ""S"" for ammonium hydrogen sulphate. This means it must be segregated from other dangerous goods as follows:

* Away from: Class 1 (explosives), Class 4.3 (dangerous when wet substances), Class 5.1 (oxidizing agents), Class 5.2 (organic peroxides), Class 6.1 (toxic substances), Class 6.2 (infectious substances), and Class 8 (corrosive substances)

* Segregated as for Class 8: Ammonium hydrogen sulphate should be segregated from other corrosive substances.

It is crucial to consult the IMDG Code and the Dangerous Goods List for the most up-to-date and specific stowage and segregation requirements for any given shipment."
"What are the packaging requirements for Acetyl cyclohexanesulphonyl peroxide with a concentration of 32% and diluent Type B, according to the IMDG Code?","Acetyl cyclohexanesulphonyl peroxide with a concentration of 32% and diluent Type B falls under UN Number 3115.  

According to the IMDG Code, this substance must be packaged in accordance with Packing Instructions P520. This instruction typically involves:

*  Packaging: Use combination packagings with:

    * Inner packagings:  Strong, hermetically sealed glass or plastic containers.

    * Outer packagings:  Suitable for the contents and must be rigid, waterproof, and have adequate cushioning material.
*  Quantity Limitations: The maximum net quantity per inner packaging is usually limited, often to 1 kg or less, depending on the specific diluent used.

You should always consult the latest edition of the IMDG Code and the relevant Packing Instructions for the most up-to-date and accurate information on packaging requirements."
What are the IMDG Code requirements for segregating incompatible dangerous goods stowed on deck and those stowed below deck?,"The IMDG Code mandates a minimum longitudinal separation of 24 meters between incompatible dangerous goods stowed on deck and those stowed below deck. This distance must include a complete compartment. This segregation requirement is in addition to any vertical separation. For example, if a package of incompatible dangerous goods is stowed in a hold below deck, another package of incompatible goods stowed on deck must be at least 24 meters forward or aft of the hold containing the first package.  

Remember, vertical separation alone is insufficient to meet the segregation requirements for incompatible dangerous goods."
What are the marking requirements for a packaging with a gross mass exceeding 30 kg according to the IMDG Code?,"For packages exceeding a gross mass of 30 kg, the IMDG Code stipulates that the marks, or duplicates thereof, must appear on the top or a side of the packaging. The letters, numerals, and symbols used for these marks must have a minimum height of 12 mm.

However, there are exceptions for smaller packages:

* Packagings with a capacity of 30 liters or 30 kg or less: The minimum height of the marks is reduced to 6 mm.
* Packagings with a capacity of 5 liters or 5 kg or less: The marks should be of an appropriate size, considering the smaller dimensions of the packaging.

In addition to the size requirements, the IMDG Code also outlines specific content for the markings.  These include:

* The UN symbol for packaging certification.

* The code designating the type of packaging (as per 6.1.2 of the IMDG Code).

* The text “CLASS” followed by the appropriate hazard class number for the dangerous goods being transported."
"According to the IMDG Code, what is the responsibility of the main designated national competent authority in France regarding the transport of dangerous goods?","The main designated national competent authority in France, as listed in the provided excerpt from the IMDG Code, is the Ministère de la Transition Ecologique et Solidaire.  Specifically, the Adjoint au Chef de la mission transport de matières dangereuses, Mr. Pierre Dufour, is responsible for matters related to the transport of dangerous goods. This authority likely oversees the implementation and enforcement of the IMDG Code's provisions within France, ensuring that the safe transport of dangerous goods is maintained. Their duties may include issuing permits, conducting inspections, providing guidance to stakeholders, and investigating incidents."
"A shipment of a colourless, volatile liquid with a fragrant odour, a flashpoint of -10°C, and explosive limits of 3% to 16% needs to be transported. Referring to the provided IMDG Code excerpt, what are the UN Proper Shipping Name, Class, Subsidiary Risk, and Packing Group for this liquid?","According to the provided IMDG Code excerpt, the UN Proper Shipping Name for this liquid would be ""Flammable Liquid, N.O.S."" (Not Otherwise Specified).

The Class would be 3, indicating Flammable Liquids.

There are no Subsidiary Risks listed for this specific entry in the excerpt.

The Packing Group would be II, as indicated by the ""2"" next to the entry.

It's crucial to remember that this information is based on a limited excerpt. Always consult the complete IMDG Code for detailed information and specific requirements for shipping dangerous goods."
"According to the IMDG Code, what are the packing provisions for UN 2907 when shipped as a Category A substance?","The IMDG Code states that UN 2907, when shipped as a Category A substance,  falls under packing provisions specified in 5.1.5.4.2.  

To find the exact packing provisions, you would need to refer to Section 5.1.5.4.2 of the IMDG Code. This section details the specific requirements for packaging, marking, and labeling of Category A infectious substances.

Remember, the IMDG Code is a complex document, and it's crucial to consult the relevant sections and follow all applicable regulations when handling and transporting dangerous goods."
"A package design for radioactive material incorporates a single, robust water barrier within its containment system.  Would the IMDG Code allow this design to assume no leakage of water into or out of the void spaces within the containment system?","No, the IMDG Code would not allow this design to assume no leakage.  The text specifically states that to assume absence of leakage in void spaces, the design must incorporate ""multiple high-standard water barriers, not less than two of which would remain watertight"" even after the tests prescribed in 6.4.11.  A single barrier, regardless of its robustness, does not meet this requirement. 

Therefore, the package design would need to be assessed assuming water leakage into and out of the void spaces within the containment system."
"According to the IMDG code, what is the maximum allowable test period for periodic inspections of cylinders and pressure drums used for UN Nos. 3500, 3501, 3502, 3503, 3504 and 3505, as stipulated in Packing Instruction P206?","The IMDG code, specifically Packing Instruction P206, states that the maximum test period for periodic inspections of cylinders and pressure drums used for UN Nos. 3500, 3501, 3502, 3503, 3504, and 3505 shall not exceed 5 years."
"According to the IMDG Code, what are the segregation requirements for closed cargo transport units carrying different goods of Class 1?","The IMDG Code states that closed cargo transport units carrying different goods of Class 1 do not require segregation from each other if 7.2.7.1.4 authorizes the goods to be transported together. However, if 7.2.7.1.4 does not permit the transportation of these specific Class 1 goods together, the closed cargo transport units must be ""separated from"" one another.  

This ""separation""  means the units should be stowed apart, with sufficient space to prevent any interaction or risk of fire or explosion in the event of an incident. The exact distance required for separation depends on the specific goods being transported and is outlined in the IMDG Code. 

It's crucial to consult the relevant sections of the IMDG Code, including 7.2.7.1.4 and the segregation table in chapter 7, to determine the precise segregation requirements for any given combination of Class 1 goods."
What are the procedures for transporting consignments of radioactive material for which complying with the IMDG Code's radioactive material provisions is deemed impracticable?,"The IMDG Code acknowledges that there may be rare instances where strictly adhering to the radioactive material provisions is impracticable. In such cases, the competent authority, after thorough evaluation, can authorize ""special arrangement"" transport operations.

Here's a breakdown of the process:

1. Impracticability Demonstration: The consignor must convincingly demonstrate to the competent authority that conforming to the radioactive material provisions is genuinely impracticable. This could be due to unique characteristics of the material, the packaging, or the transport conditions.

2. Equivalent Safety Standards: The consignor must also prove that, despite the impracticability, the overall safety level of the transport operation will be equivalent to or higher than if all the IMDG Code provisions were met. This often involves providing detailed alternative safety measures, risk assessments, and robust contingency plans.

3. Competent Authority Approval: The competent authority will review the consignor's submission and, if satisfied, grant approval for the special arrangement transport.

4. Multilateral Approval (International Consignments): For international shipments involving special arrangements, obtaining multilateral approval from all countries involved in the transport route is crucial. This ensures a consistent and internationally recognized safety standard.

5. Ongoing Monitoring and Review:  The competent authority may periodically review the special arrangement to ensure its continued effectiveness and safety. 

The IMDG Code emphasizes that while special arrangements provide flexibility, safety remains paramount. The procedures are designed to ensure that even when conventional provisions are impractical, the transport of radioactive material is conducted with the highest possible level of safety and protection for people and the environment."
"According to the IMDG Code, what criteria are used to classify a substance as belonging to Class 9 (Miscellaneous dangerous substances and articles)?","The IMDG Code outlines several criteria for classifying a substance as Class 9.  

Firstly, substances and articles that, during transport, present a danger not covered by other classes are assigned to Class 9.

This includes materials that:

*  May, under certain conditions, be harmful to the environment, particularly aquatic environments.

* Pose a risk to health, safety, or property due to factors such as chemical reactivity, radioactivity, corrosiveness, or the presence of other hazardous properties.

* Do not meet the criteria for classification in other classes, but are deemed to present a potential hazard during transport.

Specific examples of Class 9 substances include:


* Genetically modified organisms

* Blue asbestos

* Self-heating substances

* Substances emitting flammable gases upon contact with water

*  Batteries, wet cell, containing acids or alkalis

* Lithium batteries

The IMDG Code emphasizes the importance of considering all relevant properties when classifying a substance as Class 9. This ensures that appropriate handling and transport procedures are implemented to minimize the risks associated with these materials."
A company is shipping a diesel generator with a fuel tank capacity of 600 liters. What IMDG Code labeling and placarding requirements must they meet?,"According to the IMDG Code provisions for UN 3529 (containing fuel), since the fuel tank capacity of the diesel generator is between 450 and 1,000 liters, it must be labeled on two opposing sides in accordance with section 5.2.2 of the IMDG Code."
A vessel carrying dangerous goods is preparing to depart port. What sections of the IMDG Code should the crew be familiar with to ensure safe and compliant transport?,"The IMDG Code outlines specific sections relevant to the various stages of transporting dangerous goods. For a vessel departing port, the crew should be particularly familiar with the following sections:

* Section 6.1.2 (Classification): This section details the procedures for classifying dangerous goods according to their hazards. Understanding the classification of the goods onboard is crucial for determining appropriate packaging, labelling, and stowage.

* Section 6.1.3 (Identification):  This section outlines the UN numbers, proper shipping names, and other identifiers used for dangerous goods. The crew needs to be able to accurately identify the goods they are transporting.

* Section 6.5.2 (General Provisions): This section covers general requirements for the safe transport of dangerous goods by sea, including responsibilities of the shipper, carrier, and crew.

* Section 6.6.3 (Stowage and Segregation): This section provides detailed guidance on the safe stowage of dangerous goods on board ships, including segregation requirements to prevent incompatible goods from reacting with each other.

* Section 6.7.2.20 (Documentation): This section details the required documentation for the transport of dangerous goods, including the dangerous goods manifest, stowage plan, and emergency procedures.

* Section 6.7.3.16 (Fire Protection): This section outlines fire safety measures specific to the transport of dangerous goods, including the availability and proper use of fire extinguishing equipment.

* Section 6.7.4 (Emergency Procedures): This section provides guidance on responding to emergencies involving dangerous goods, including spill containment, first aid, and communication procedures.

Familiarity with these sections will enable the crew to handle dangerous goods safely and compliantly throughout the voyage."
