question,response
What are the normal working hours for Customs at Inland Container Depots (ICDs) in Kenya on Saturdays?,Customs at Inland Container Depots (ICDs) in Kenya operate from 08:00 to 13:00 on Saturdays.
What is required of the notify party for shipments involving Brazil?,The notify party must be located in Brazil.
What documentation is required for shipments containing dangerous goods to Qatar via CHERRY shipping line?,"Shipments of dangerous goods require proper documentation and labeling, adherence to IMDG regulations, advance booking, and approval from CHERRY."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Kenya?,A Dangerous Goods Declaration and a Safety Data Sheet (SDS) are required for shipping dangerous goods to Kenya with CHERRY shipping line.
What Ukrainian regulations must all shipments adhere to when using the CHERRY shipping line?,All shipments must comply with Ukrainian Customs Law and related regulations.
What documentation is required for dangerous goods shipments from a foreign country to Brazil?,"For dangerous goods shipments from a foreign country to Brazil, the following documents are required:  a Material Safety Data Sheet (MSDS) in Portuguese or English, a Dangerous Goods Declaration provided 72 hours before vessel arrival, FISPQ (Ficha de Informação de Produto Químico), Ficha de Emergência (Anexo VIII da NR 29), and Declaração de Mercadorias Perigosas (Anexo VII da NR 29).  All documents must be in Portuguese."
What type of identification is required for business consignees in Australia when shipping with CHERRY?,Business consignees in Australia must provide either an Australian Business Number (ABN) or an Australian Company Number (ACN).
What are the import restrictions on plastic scrap in Taiwan?,The Environmental Protection Administration of Taiwan (EPA) has published import restrictions on plastic scraps. Importers in Taiwan need to be factories registered with the Taiwan Government Authority.  Violations result in cargo return to origin and penalties.
What documentation is required for shipping dangerous goods with CHERRY shipping line to Kenya?,A Dangerous Goods Declaration and a Safety Data Sheet (SDS) are required for shipping dangerous goods to Kenya with CHERRY shipping line.
What Turkish regulations must all shipments adhere to when using the CHERRY shipping line?,All shipments must comply with Turkish Customs Law and related regulations.
What is the document cut-off time for submitting an Original Bill of Lading to CHERRY shipping line?,"The document cut-off time for submitting an Original Bill of Lading is 12:00 noon, 2 working days before the vessel's estimated time of arrival."
What is the required lead time for submitting an Entry Summary Declaration (ENS) for goods entering the UK via container shipping?,The ENS must be submitted at least 24 hours before loading.
What type of company can be listed as the consignee on a shipment to the UAE according to CHERRY shipping line?,The consignee must be a company registered in the UAE.
What is the required system for filing import declarations for shipments to India?,Import declarations must be filed through the Indian Customs EDI System (ICES).
What special regulations apply to returning Tanzanian citizens shipping personal effects and household goods?,Detailed information regarding the special regulations for returning Tanzanian citizens shipping personal effects and household goods is not provided in the text.  It is recommended to confirm these regulations with your local CHERRY office.
What is the minimum lead time required for booking confirmation when shipping with CHERRY shipping line?,A minimum of 5 working days before vessel arrival is required for booking confirmation.
Are Sea Waybills permitted for shipments to Brazil?,"No, Sea Waybills are not allowed for any shipments to Brazil."
What documentation is required for customs clearance in Taiwan?,"Customs clearance in Taiwan can be conducted by the importer or a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What are the customs duty and GST implications for goods stored in a Free Trade Zone (FTZ) in Singapore for more than 14 days?,Goods remaining in a FTZ in Singapore beyond 14 days may be subject to customs duties and GST.
Are customs operations in Kenya typically open on public holidays?,"No, customs operations in Kenya are typically closed on public holidays."
What are the demurrage charges for a 40' dry container after the initial 7 days of free time?,Demurrage charges for a 40' dry container are USD 120 per day for days 8-14 and USD 180 per day from day 15 onwards.
Are there any public holidays in Thailand that could potentially impact shipping and customs operations?,"Yes, Thailand observes several public holidays throughout the year, including New Year's Day, Songkran Festival, Labor Day, and the birthdays of the King and Queen. These holidays may affect shipping and customs operations."
What are the special regulations for importing personal effects and household goods into India for Non-Resident Indians (NRIs) and returning citizens?,Detailed inventory lists are required for all personal effects and household goods shipments to India. These shipments may be subject to customs inspection. Special regulations apply for Non-Resident Indians (NRIs) and returning citizens.
What are the documentation requirements for shipping waste and scrap materials with CHERRY shipping line?,Acceptance of waste and scrap materials is subject to the destination country's regulations. Additional documentation may be required for such shipments.
What are the required documents for customs clearance in Kenya?,"Customs clearance in Kenya requires a Commercial Invoice, Packing List, Bill of Lading, Import Declaration Form (IDF), Certificate of Conformity (CoC) if applicable, and Certificate of Origin (if applicable)."
What is the maximum age allowed for imported vehicles shipped by CHERRY to Jordan?,Imported vehicles shipped by CHERRY to Jordan must not be more than 5 years old.
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
What are the acceptable payment terms for shipments with CHERRY shipping line?,"CHERRY shipping line accepts both prepaid and collect shipments. For personal effects shipments, charges must be handled through a freight forwarder or moving company and cannot be invoiced directly to private parties. Credit approval may be required for collect shipments."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What is the required format for a VAT ID for import shipments to South Africa?,The VAT number for import shipments to South Africa must consist of 10 digits.
What contact information is mandatory for both shipper and consignee details when submitting documentation to CHERRY shipping line?,"A phone number with the country and area code, and an email address are mandatory for both shipper and consignee details."
What are the specific emission standards that new vehicles must comply with when being imported into Indonesia?,New vehicles imported into Indonesia must comply with Indonesian emission standards and obtain approval from the Ministry of Industry.
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY?,"The maximum gross weight allowed for a 40' container shipped by CHERRY is 30,480 kg."
Are shipments between EU countries subject to customs formalities when using CHERRY shipping line?,"No, shipments between EU countries are considered intra-EU movements and are not subject to customs formalities."
What Singapore Customs regulations must all shipments adhere to when using CHERRY shipping line?,All shipments must comply with the Singapore Customs Act and regulations.
What are the documentation requirements for importing vehicles into Djibouti?,Importing vehicles into Djibouti may require special documentation.  New vehicles must meet Djibouti's safety and emission standards.  Import of used vehicles may be restricted.
What are the gate operation hours at the Doraleh Multipurpose Port (DMP) on Fridays and Saturdays?,Gate operations at the Doraleh Multipurpose Port (DMP) are from 06:00 to 18:00 on Fridays and Saturdays.
What contact information is required for both the shipper and consignee when shipping with CHERRY Shipping Line to Djibouti or Ethiopia?,"Both the shipper and consignee must provide a full name, postal address including country, phone number, and email address."
What packaging details are required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and type."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Turkey?,A Dangerous Goods Declaration (in Turkish and English) and a Safety Data Sheet (SDS) in Turkish and English are required.
What contact information is required for both the shipper and consignee when shipping to Turkey via CHERRY Shipping Line?,"Both the shipper and consignee must provide a full name, complete address, phone number, and email address.  Turkey-based shippers and consignees must also provide their Tax Identification Number (VKN). For personal imports, the consignee must provide their full name and Turkish ID number (T.C. Kimlik No) instead of a VKN."
Are customs operations in Turkey typically open on public holidays?,"No, customs operations in Turkey are typically closed on public holidays."
What are the CBP regulations that all shipments must comply with?,"All shipments must comply with U.S. Customs and Border Protection (CBP) regulations, including the ""24-hour rule"" which requires advance electronic information, and Partner Government Agency (PGA) requirements such as those from the FDA, USDA, and FCC."
What contact information is mandatory for both shipper and consignee details when submitting documentation to CHERRY shipping line?,"A phone number with the country and area code, and an email address are mandatory for both shipper and consignee details."
What are the mandatory contact details required for the notify party in shipments handled by CHERRY shipping line?,"The notify party must provide a full name and complete address, along with a mandatory phone number and email address."
What type of certificates are required for agricultural and animal products being shipped to Argentina?,"Agricultural products may require phytosanitary certificates from SENASA (Servicio Nacional de Sanidad y Calidad Agroalimentaria), while animal products may require veterinary health certificates from SENASA."
What are the maximum allowed gross weights for 20' and 40' containers according to CHERRY shipping line's compliance with Dutch road regulations?,"The maximum allowed gross weight for a 20' container is 28,000 kg, and for a 40' container, it is 32,500 kg."
What is the free time allowed for dry export containers at the PSA Singapore port operated by CHERRY shipping line?,The free time allowed for dry export containers at the PSA Singapore port operated by CHERRY shipping line is 7 days.
What documentation is required for all shipments to Jordan?,A Certificate of Origin authenticated by the Chamber of Commerce in the country of origin is required for all shipments to Jordan.
What currency is preferred for local charges in Ukraine when shipping with CHERRY?,The Ukrainian Hryvnia (UAH) is the preferred currency for local charges.
What information is required for the Notify Party Details section on a bill of lading for CHERRY shipping line?,"The Notify Party Details section requires the full name and complete address of the party, along with a phone number including the country and area code, and a mandatory email address. P.O. boxes are not accepted."
What are some examples of restricted items that may require special permits or licenses for import into India?,"Examples of restricted items for import into India include used tires, used rubber and vulcanized rubber scrap, and solid plastic waste/scrap. Melon seeds covered under HS Code 12077090 are also restricted."
What contact information is mandatory for both shipper and consignee details when shipping with CHERRY Shipping Line to Taiwan?,Both telephone or fax number and email address are mandatory contact information for shipper and consignee details.
What documentation is required for importing a vehicle from outside the EU into the UK?,Non-EU vehicles require the Vehicle Approval Scheme.  Classic or collector vehicles may need special documentation.
What special documentation is required when shipping personal effects and household goods to the U.S.?,"When shipping personal effects and household goods to the U.S., you will need a detailed inventory list, a valuation form, and a copy of your passport or government-issued ID. These shipments are also subject to U.S. Customs inspection."
What type of identification is required for business consignees in Australia when shipping with CHERRY?,Business consignees in Australia must provide either an Australian Business Number (ABN) or an Australian Company Number (ACN).
What contact information is mandatory for both shipper and consignee details when shipping to Malaysia via CHERRY Shipping Line?,Both phone number and email address are mandatory contact information for shipper and consignee details.
What special documentation is required when shipping personal effects and household goods to the U.S.?,"When shipping personal effects and household goods to the U.S., you will need a detailed inventory list, a valuation form, and a copy of your passport or government-issued ID. These shipments are also subject to U.S. Customs inspection."
What are the documentation requirements for shipping waste and scrap materials with CHERRY shipping line?,Acceptance of waste and scrap materials is subject to the destination country's regulations. Additional documentation may be required for such shipments.
What specific US regulations must be followed when shipping food products with CHERRY shipping line?,"When shipping food products to the US, compliance with the FDA's Food Safety Modernization Act (FSMA) is required. This includes maintaining time/temperature logs and ensuring cold chain integrity during customs inspections."
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
What documentation is required for importing a vehicle from outside the EU into the UK?,Non-EU vehicles require the Vehicle Approval Scheme.  Classic or collector vehicles may need special documentation.
What is the required documentation for shipments entering the United States via CHERRY shipping line?,"Required documentation includes CBP Form 3461 or CBP Form 7501, a commercial invoice, packing list, bill of lading, certificates of origin (if applicable), and any specific documentation required for regulated commodities."
What is the contact information for CHERRY Shipping Line's South Korea office?,"The South Korea office address, phone number, and email address are provided in the text. Please refer to the document for the specific details."
What contact information is mandatory for both shipper and consignee details when submitting documentation to CHERRY shipping line?,"A phone number with the country and area code, and an email address are mandatory for both shipper and consignee details."
What documentation is required to be prominently displayed when shipping temperature-controlled cargo with CHERRY shipping line?,Any special handling instructions for the temperature-controlled cargo must be prominently displayed on the documentation.
What Ukrainian regulations must all shipments adhere to when using the CHERRY shipping line?,All shipments must comply with Ukrainian Customs Law and related regulations.
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What special regulations apply to returning Tanzanian citizens shipping personal effects and household goods?,Detailed information regarding the special regulations for returning Tanzanian citizens shipping personal effects and household goods is not provided in the text.  It is recommended to confirm these regulations with your local CHERRY office.
What documentation is required for importing a vehicle from outside the EU into the UK?,Non-EU vehicles require the Vehicle Approval Scheme.  Classic or collector vehicles may need special documentation.
What contact information is mandatory for both shipper and consignee details when shipping with CHERRY Shipping Line to Taiwan?,Both telephone or fax number and email address are mandatory contact information for shipper and consignee details.
"What import declaration process is required for goods valued at AUD 1,000 or less when shipping to Australia via CHERRY shipping line?","Self-Assessed Clearance (SAC) is required for goods valued at AUD 1,000 or less."
What are the specific regulations for shipping Class 7 (Radioactive Materials) with CHERRY shipping line?,Shipping Class 7 (Radioactive Materials) is subject to approval from Singapore's National Environment Agency.
What contact information is required for both the shipper and consignee when shipping to Kenya with CHERRY Shipping Line?,"Both the shipper and consignee must provide their full name, address, and country name. Additionally, they must include mandatory phone numbers and email addresses."
What is the minimum lead time required for booking confirmation when shipping with CHERRY shipping line?,A minimum of 5 working days before vessel arrival is required for booking confirmation.
"According to CHERRY shipping line's requirements, what contact information is mandatory for the notify party?",The notify party must provide an email address and a phone number with the country and area code.
What is the maximum cargo weight allowed for a 40-foot container shipped by CHERRY?,The maximum cargo weight allowed for a 40-foot container shipped by CHERRY is 26 tons.
What is the document cut-off time for submitting an Original Bill of Lading to CHERRY shipping line?,"The document cut-off time for submitting an Original Bill of Lading is 12:00 noon, 2 working days before the vessel's estimated time of arrival."
What documentation is required for Korea-based consignees?,"Korea-based consignees must provide their full name, complete address, phone number, email address, and Business Registration Number."
What is the maximum weight allowed for a reefer container shipped to Taiwan?,"The maximum weight allowed for a reefer container shipped to Taiwan is 28,500 KGS, inclusive of cargo weight and tare weight."
What documentation is required for shipping dangerous goods with CHERRY shipping line to China?,A Dangerous Goods Declaration (in Chinese) and Safety Data Sheets (SDS) in Chinese are required for shipping dangerous goods.
What contact information is mandatory for both shipper and consignee details when submitting documentation to CHERRY shipping line?,"A phone number with the country and area code, and an email address are mandatory for both shipper and consignee details."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What are the acceptable payment terms for shipments with CHERRY shipping line to Germany?,"Both prepaid and collect shipments are accepted, with collect payments/charges for collection in Germany being acceptable."
What is the minimum advance manifest submission time required for import shipments by CHERRY shipping line?,The minimum advance manifest submission time required for import shipments is 48 hours before the vessel's arrival.
What are the demurrage charges for a 40' dry container after the initial 7 days of free time?,Demurrage charges for a 40' dry container are USD 120 per day for days 8-14 and USD 180 per day from day 15 onwards.
What contact information is required for shippers when submitting documentation to CHERRY Shipping Line for shipments to Brazil?,Shippers must provide a phone number and an email address.
What contact information is required for both the shipper and consignee when submitting documentation to CHERRY shipping line?,"For both the shipper and consignee, a full name and complete address are required, along with an email address and a phone number including the country and area code."
What documentation is required to be prominently displayed when shipping temperature-controlled cargo with CHERRY shipping line?,Any special handling instructions for the temperature-controlled cargo must be prominently displayed on the documentation.
"According to CHERRY shipping line's requirements, what contact information is mandatory for the notify party?",The notify party must provide an email address and a phone number with the country and area code.
What is the maximum age allowed for imported vehicles shipped by CHERRY to Jordan?,Imported vehicles shipped by CHERRY to Jordan must not be more than 5 years old.
What documentation is required for China-based shippers when shipping with CHERRY?,"China-based shippers must provide their full name, complete address, phone number, email address, and Unified Social Credit Code."
What is the contact information for CHERRY Shipping Line's South Korea office?,"The South Korea office address, phone number, and email address are provided in the text. Please refer to the document for the specific details."
What information is required for Japan-based shippers when submitting documentation to CHERRY shipping line?,"Japan-based shippers must provide their full name, complete address, phone number, email address, and Japanese Corporate Number."
What languages are accepted for shipping documents when shipping to Belgium via CHERRY shipping line?,"Shipping documents must be in Dutch, French, German, or English."
What documentation is required to be prominently displayed when shipping temperature-controlled cargo with CHERRY shipping line?,Any special handling instructions for the temperature-controlled cargo must be prominently displayed on the documentation.
What is the maximum length allowed for a CHERRY shipping line Bill of Lading (B/L) number?,The maximum length allowed for a CHERRY shipping line B/L number is 20 characters.
What is the minimum lead time required for booking confirmation when shipping with CHERRY shipping line?,A minimum of 5 working days before vessel arrival is required for booking confirmation.
What documentation is required for returning Filipino citizens shipping personal effects and household goods with CHERRY?,Returning Filipino citizens must provide a detailed inventory list of their belongings and proof of stay abroad for at least six months.
What packaging regulations should importers be aware of when shipping goods to Germany?,Importers must participate in a packaging recycling scheme as per the German Packaging Ordinance.
What type of information is required for the Notify Party in a shipment with CHERRY shipping line?,"The Notify Party must be an Indian-based organization with a full name, complete address, phone number, and email address. If the Notify Party is ""TO ORDER"" or ""BANK,"" a second notify party with an actual company name and address is required."
What packaging details are required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and type."
What contact information is required for the consignee when shipping with CHERRY?,"The consignee must provide a phone number with the country and area code, as well as an email address."
What currency is preferred for local charges in Turkey when shipping with CHERRY?,Turkish Lira (TRY) is the preferred currency for local charges.
What are the specific regulations governing the import of used vehicles into Turkey?,"Import of used vehicles into Turkey is subject to specific regulations, which are not detailed in this document.  You should consult the relevant Turkish authorities or CHERRY shipping line for further information."
What type of contact information is mandatory for both the shipper and consignee when shipping to India with CHERRY Shipping Line?,Both the shipper and consignee must provide a phone number and email address.
What are the acceptable payment terms for shipments with CHERRY shipping line?,"CHERRY shipping line accepts both prepaid and collect shipments. For personal effects shipments, charges must be handled through a freight forwarder or moving company and cannot be invoiced directly to private parties. Credit approval may be required for collect shipments."
What are the maximum gross weight limits for 20' and 40' containers shipped by CHERRY shipping line?,"The maximum gross weight for 20' containers is 24,000 kg, and the maximum gross weight for 40' containers is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What are the free time limits for general cargo and reefer containers in Indonesia according to CHERRY shipping line?,The free time limit is 3 days for general cargo and 2 days for reefer containers.
What is the document cut-off time for submitting an Original Bill of Lading to CHERRY shipping line?,"The document cut-off time for submitting an Original Bill of Lading is 12:00 noon, 2 working days before the vessel's estimated time of arrival."
What are the maximum allowed gross weights for 20' and 40' containers according to CHERRY shipping line's compliance with Dutch road regulations?,"The maximum allowed gross weight for a 20' container is 28,000 kg, and for a 40' container, it is 32,500 kg."
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
Are customs offices in the Netherlands open on King's Day (April 27)?,"No, customs offices in the Netherlands will be closed on King's Day (April 27)."
What documentation is required for all shipments to Jordan?,A Certificate of Origin authenticated by the Chamber of Commerce in the country of origin is required for all shipments to Jordan.
What are the special requirements for importing vehicles into Vietnam?,The import of used vehicles is generally restricted. New vehicles must meet Vietnamese safety and emission standards and require special permits from the Ministry of Transport.
"What special security measures are required for high-value cargo exceeding USD 1,000,000 per container when shipping with CHERRY?","High-value cargo requires sealed high-security locks, GPS tracking devices, and may necessitate armed guards subject to UAE regulations."
What are the required documents for customs clearance in Chile when shipping with CHERRY?,"Original commercial invoice, packing list, and Bill of Lading (B/L) are required for customs clearance in Chile when shipping with CHERRY."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Malaysia?,A Dangerous Goods Declaration and a Safety Data Sheet (SDS) are required for shipping dangerous goods with CHERRY shipping line to Malaysia.
What are the import declaration filing requirements for shipments arriving in Japan?,Cargo information must be submitted electronically through the Nippon Automated Cargo and Port Consolidated System (NACCS) at least 24 hours before departure from the port of loading.
What is the age restriction for used passenger vehicles being imported into the UAE?,Used passenger vehicles imported into the UAE cannot be older than 5 years.
What are the acceptable payment methods for duty and tax when filing an entry summary with CHERRY shipping line?,"CHERRY accepts cash, check, or electronic funds transfer for duty and tax payments. Deferred payment is possible with prior approval from Customs and Border Protection (CBP) and appropriate bonding."
What are the regulations that all shipments to/from Djibouti must comply with?,All shipments must comply with Djibouti Customs Law and related regulations.
What type of packaging details are required for shipments by CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the type of packaging."
What labeling requirements apply to consumer goods imported into Jordan?,"Arabic labeling is required for many consumer goods imported into Jordan, and the country of origin must be clearly marked."
What is the maximum cargo weight allowed for a 40-foot container shipped by CHERRY?,The maximum cargo weight allowed for a 40-foot container shipped by CHERRY is 26 tons.
What are the import declaration filing requirements for shipments arriving in Japan?,Cargo information must be submitted electronically through the Nippon Automated Cargo and Port Consolidated System (NACCS) at least 24 hours before departure from the port of loading.
What documentation is required for customs clearance in Djibouti?,"Customs clearance in Djibouti must be handled by a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What language requirements are there for the inventory list of personal effects being shipped to China?,A detailed inventory list for personal effects shipped to China must be provided in both English and Chinese.
What is the time limit for submitting claims for visible damage to cargo shipped by CHERRY?,Claims for visible damage must be submitted in writing within 3 days of delivery.
Are customs operations in Turkey typically open on public holidays?,"No, customs operations in Turkey are typically closed on public holidays."
What are the acceptable payment methods for duty and tax when filing an entry summary with CHERRY shipping line?,"CHERRY accepts cash, check, or electronic funds transfer for duty and tax payments. Deferred payment is possible with prior approval from Customs and Border Protection (CBP) and appropriate bonding."
What is the required advance notification timeframe for vessels carrying dangerous goods arriving at a U.S. port?,Advance Notification of Security (ANOAS) is required 96 hours before arrival.
What are the maximum allowed gross weights for 20' and 40' containers according to CHERRY shipping line's compliance with Dutch road regulations?,"The maximum allowed gross weight for a 20' container is 28,000 kg, and for a 40' container, it is 32,500 kg."
What contact information is required for both the shipper and consignee when preparing a bill of lading for CHERRY shipping line?,"Both the shipper and consignee must provide a full name, postal address including country, email address, and a phone number with country and area code."
What are the operating hours for the Physical Verification Service (PVS) in Djibouti?,"The PVS operates from Sunday to Thursday, 08:00 to 16:00. It is closed on Fridays and Saturdays."
What documentation is required for China-based shippers when shipping with CHERRY?,"China-based shippers must provide their full name, complete address, phone number, email address, and Unified Social Credit Code."
What is required of the notify party for shipments involving Brazil?,The notify party must be located in Brazil.
What contact information is required for both the shipper and consignee when shipping to Turkey via CHERRY Shipping Line?,"Both the shipper and consignee must provide a full name, complete address, phone number, and email address.  Turkey-based shippers and consignees must also provide their Tax Identification Number (VKN). For personal imports, the consignee must provide their full name and Turkish ID number (T.C. Kimlik No) instead of a VKN."
