question,response
What are the documentation requirements for shipping goods to Jordan?,"All shipping documents must be in Arabic or English. A Certificate of Origin, authenticated by the Chamber of Commerce in the country of origin, is required for all shipments. An import license, issued by the Ministry of Industry, Trade and Supply, may be required for certain goods. Legalization of documents may also be necessary for some shipments."
What payment terms are required for refrigerated shipments to Saudi Arabia?,All refrigerated shipments to Saudi destinations must be prepaid.
What documentation is required for food shipments entering the United States and when must it be filed?,"Food shipments may require Prior Notice, which must be filed no more than 15 days and no fewer than 8 hours before arrival."
What type of company must the consignee be for shipments to Qatar according to CHERRY shipping line?,The consignee must be a company registered in Qatar.
What are the acceptable payment terms for shipments with CHERRY shipping line?,"CHERRY shipping line accepts both prepaid and collect shipments.  For personal effects shipments, charges must be handled through a freight forwarder or moving company and cannot be invoiced directly to private parties. Credit approval may be required for collect shipments."
What are the demurrage charges for a 40' dry container after the free time of 7 calendar days in Russia?,The demurrage charges for a 40' dry container after the free time of 7 calendar days in Russia are USD 60 per day for days 8-14 and USD 180 per day for day 15 onwards.
What are the required weight limitations for a 20' container shipped by CHERRY shipping line?,"The maximum gross weight for a 20' container is 24,000 kg. Overweight containers are subject to special approval and additional charges."
What are the demurrage charges for a 20' dry container after the initial 5 days of free time?,Demurrage charges for a 20' dry container are USD 25 per day for days 6-10 and USD 75 per day from day 11 onwards.
What are the specific cold chain compliance requirements for pharmaceutical products shipped by CHERRY shipping line?,Pharmaceutical products shipped by CHERRY must adhere to Good Distribution Practice (GDP) compliance. This includes following specific handling procedures for products requiring controlled room temperature (CRT) and potentially providing additional documentation to prove temperature maintenance throughout transit.
What documentation is needed for customs clearance in Indonesia?,"Customs clearance in Indonesia requires a Commercial Invoice, Packing List, Bill of Lading, and a Certificate of Origin (which may be required for preferential tariff treatment).  A licensed customs broker (PPJK) must conduct the clearance."
What are the additional requirements for shipping dangerous goods through Dutch ports with CHERRY shipping line?,"For dangerous goods shipments through Dutch ports, advance notification to port authorities is required 24 hours before arrival. Additionally, a Vessel Stow Plan must be submitted 24 hours prior to arrival, and specific storage and segregation requirements as per EU and Dutch regulations must be followed."
Does CHERRY shipping line offer unpacking facilities for Less than Container Load (LCL) shipments at Australian ports?,"No, CHERRY shipping line does not offer unpacking facilities for LCL shipments at Australian ports. All shipments to Australian ports must be marked as Full Container Load (FCL), not LCL."
What are the customs documentation requirements when CHERRY shipping line calls at a U.S. port?,"When CHERRY calls at a U.S. port, importers and exporters must comply with all local customs and trade regulations, including obtaining any necessary licenses, permits, or certificates for specific commodities. They must also adhere to the U.S. restricted/prohibited goods list.  Delivery orders are issued upon completion of customs formalities.  Failure to comply with U.S. customs regulations can lead to delays, fines, or cargo seizure."
What documentation is required for a shipment to the Republic of Korea from a Korea-based shipper?,"A Korea-based shipper needs to provide a full name and complete address, contact information including a phone number and email address, and a Business Registration Number.  They can also choose from an Original Bill of Lading, Sea Waybill, or Electronic Bill of Lading."
What is the required system for filing import declarations in Argentina?,Import declarations must be filed through the Customs IT System (SIM - Sistema Informático MALVINA).
What is the required tax identification number for Indonesia-based shippers and consignees according to CHERRY shipping line?,The required tax identification number for Indonesia-based shippers and consignees is the NPWP (Nomor Pokok Wajib Pajak).
What are the CBP regulations that all shipments handled by CHERRY shipping line must comply with?,"All shipments must comply with U.S. Customs and Border Protection (CBP) regulations, including the ""24-hour rule"" which requires advance electronic information submission. Additionally, compliance with Partner Government Agency (PGA) requirements like those from the FDA, USDA, and FCC is necessary."
What are the typical operating hours for customs in Ukraine during public holidays?,Customs operations are typically closed on public holidays in Ukraine.
What currency is preferred for local charges when shipping to Russia with CHERRY?,Rubles (RUB) are the preferred currency for local charges.
What are the emission standards that new vehicles must comply with when being imported to Indonesia?,New vehicles must comply with Indonesian emission standards and obtain approval from the Ministry of Industry.
What is the demurrage charge per day for a 40' dry container in the US after 14 days from discharge?,The demurrage charge per day for a 40' dry container in the US after 14 days from discharge is USD 140.
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
What documents are required for customs clearance when importing goods into Thailand?,"Customs clearance in Thailand can be handled by the importer or a licensed customs broker and requires documents such as a commercial invoice, packing list, bill of lading, import license (if applicable), and certificate of origin (if applicable)."
What is the minimum timeframe required for submitting an advance manifest for import shipments with CHERRY shipping line?,The minimum timeframe required for submitting an advance manifest for import shipments is 24 hours before the vessel's arrival.
What are the special regulations for Non-Resident Indians (NRIs) and returning citizens when shipping personal effects and household goods to India?,Specific regulations apply for NRIs and returning citizens when shipping personal effects and household goods to India.  It is recommended to consult CHERRY shipping line or Indian customs authorities for detailed information on these regulations.
What types of Bills of Lading (B/L) are accepted for shipments to/from the United States of America (USA) by CHERRY Shipping Line?,"CHERRY Shipping Line accepts Original Bills of Lading (OBL), Sea Waybills (SWB), and Electronic Bills of Lading (e-B/L) for shipments to/from the USA."
"What type of import declaration is required for goods valued at AUD 1,000 or less when shipping to Australia through CHERRY shipping line?","Self-Assessed Clearance (SAC) is required for goods valued at AUD 1,000 or less."
What contact information should be provided for Australian shippers when preparing documentation for shipments to/from Australia?,"Australian shippers need to provide their full name, complete address, contact information (phone and email), and Australian Business Number (ABN)."
What are the typical impacts of public holidays on customs operations in Russia?,Customs operations in Russia are generally closed on public holidays.
What are the requirements for importing new vehicles into Indonesia?,New vehicles must comply with Indonesian emission standards and obtain approval from the Ministry of Industry.
What special customs procedures may apply to shipments destined for Vietnamese Free Trade Zones?,"The text states that special customs procedures may apply for shipments to Vietnamese Free Trade Zones, but it does not specify what those procedures are."
What packaging details are required for containerized cargo shipped by CHERRY?,"For containerized cargo, CHERRY requires the container number(s), seal number(s), container size, and type, along with detailed outer and inner packaging information, including the number of packages and type of packaging."
Are pharmaceutical and medical devices subject to registration when importing to Jordan?,"Yes, pharmaceutical and medical devices require registration with the Jordan Food and Drug Administration (JFDA) when importing to Jordan."
What is the required level of detail for the cargo description when shipping with CHERRY?,"A detailed and accurate description of the goods is mandatory. The use of vague terms like ""Said to Contain"" is prohibited. The description must include the precise commodity, the number of packages, and the type of packages."
What are the required documents for customs clearance in the Philippines when importing goods?,"The required documents for customs clearance in the Philippines are a Commercial Invoice, Packing List, Bill of Lading, and a Certificate of Origin (which may be required for preferential tariff treatment)."
What is the document cut-off time for submitting a Sea Waybill (Express B/L) to CHERRY shipping line for shipments destined to St.?,"The document cut-off time for submitting a Sea Waybill (Express B/L) is 12:00 noon, 1 working day before the vessel's estimated time of arrival (ETA)."
What types of bills of lading are accepted by CHERRY Shipping Line for shipments to Qatar?,"CHERRY Shipping Line accepts Original Bill of Lading (OBL), Sea Waybill (SWB), and Electronic Bill of Lading (e-B/L) for shipments to Qatar, subject to Qatar's electronic transaction laws."
What are the normal working hours for customs at Inland Container Depots (ICDs) in Kenya on Saturdays?,Customs at Inland Container Depots (ICDs) in Kenya operate from 08:00 to 13:00 on Saturdays.
What are the required documents for shipping dangerous goods via CHERRY shipping line to Japan?,"For shipping dangerous goods to Japan via CHERRY, a Dangerous Goods Declaration in Japanese and Safety Data Sheets (SDS) in Japanese are required."
What are the gate operation hours at Izmir Port on a Saturday?,The gate operation hours at Izmir Port on a Saturday are from 08:00 to 16:00.
Does CHERRY shipping line require a Dangerous Cargo Manifest (DCM) for shipments involving dangerous goods?,"Yes, CHERRY shipping line requires a Dangerous Cargo Manifest (DCM) to be available for immediate presentation to authorities."
What are the specific regulations governing the import of used vehicles into Russia?,"The import of used vehicles into Russia is subject to specific regulations, which are not detailed in this provided text."
What are the special requirements for importing used vehicles into Malaysia?,Import of used vehicles is restricted and subject to approval from the Ministry of International Trade and Industry (MITI).
What is the free time allowed for import demurrage at the port of Dar es Salaam for a 40' dry container?,The free time allowed for import demurrage at the port of Dar es Salaam for a 40' dry container is 7 calendar days from discharge.
Are part load bills of lading accepted by CHERRY shipping line for shipments to Qatar?,"Yes, part load bills of lading are acceptable for shipments to Qatar, but the consignee must be the same on all bills of lading."
What are the gate operation hours at the Mombasa Port on a Saturday?,Gate operations at the Mombasa Port are open from 06:00 to 18:00 on Saturdays.
Are there specific payment terms for shipments arriving at certain Indonesian ports?,"Yes, specific payment terms apply for certain Indonesian ports, as detailed in a previous document."
What contact information is required for shippers when submitting documentation to CHERRY Shipping Line for shipments to Brazil?,Shippers must provide a phone number and email address.
"For shipments of personal effects, what are the acceptable payment methods?",Charges for personal effects shipments cannot be invoiced directly to private parties. These shipments must be handled through a freight forwarder or moving company.
Are Thai government offices and banks open on Saturdays and Sundays?,Saturdays and Sundays are generally non-working days for government offices and banks in Thailand.
What is the container free time start date for import shipments at St. ?,Container free time starts from the day following the vessel's actual arrival date.
What is the maximum age allowed for passenger cars being imported into Saudi Arabia?,Passenger cars imported into Saudi Arabia must not exceed 5 years of age.
What is the deadline for submitting an Entry Summary Declaration (ENS) for containerized maritime cargo imported to the EU via CHERRY shipping line?,The ENS must be lodged at the first customs office of entry in the EU at least 24 hours before the cargo is loaded.
What is the required documentation for shipping dangerous goods to Brazil via CHERRY shipping line?,A Dangerous Goods Declaration (in Portuguese) and Safety Data Sheets (SDS) in Portuguese are required.
What are the required HS codes for shipments to Turkey as per CHERRY shipping line compliance?,12-digit HS codes are required for all shipments to Turkey as per Turkish Customs regulations.
What documentation is required for shipping dangerous goods to Brazil with CHERRY shipping line?,A Dangerous Goods Declaration (in Portuguese) and Safety Data Sheets (SDS) in Portuguese are required.
What is the minimum timeframe for submitting shipping instructions for export shipments with CHERRY shipping line?,Shipping instructions must be submitted a minimum of 3 working days before the vessel's estimated time of arrival (ETA).
What contact information is required for both the shipper and consignee when shipping to Djibouti or Ethiopia via CHERRY Shipping Line?,"Both the shipper and consignee must provide a full name, postal address including the country, a phone number, and an email address."
What additional requirements apply to dangerous goods shipments at US ports?,"Dangerous goods shipments to US ports require advance notification to the US Coast Guard (USCG) at least 96 hours before arrival. A vessel stow plan must also be submitted to the USCG 48 hours prior to arrival. Specific storage and segregation requirements, as outlined in 49 CFR 32, must be adhered to."
What is the required timeframe for filing an AMS (Automated Manifest System) document for a shipment bound for the United States?,The AMS document must be filed 24 hours before the cargo is loaded aboard the vessel at the foreign port.
What specific regulations must all shipments comply with when using CHERRY shipping line for transportation to or from Singapore?,All shipments must comply with the Singapore Customs Act and regulations.
What type of packaging information is required when shipping with CHERRY shipping line?,"For shipments with CHERRY shipping line, you need to provide details about the outer packaging, specifying the type (e.g., carton, crate, pallet) and dimensions."
What contact information is required for the consignee when shipping to Jordan with CHERRY shipping line?,"When shipping to Jordan with CHERRY shipping line, the consignee must provide a full name and complete address, along with a mandatory email address and phone number including the country and area code. The consignee must also be a company or individual registered in Jordan."
What are the demurrage charges for a 20' dry container in Djibouti after the initial 7 days of free time?,"Demurrage charges for a 20' dry container are USD 30 per day for days 1-7 after the free time, USD 60 per day for days 8-14, and USD 90 per day from day 15 onwards."
What is the deadline for submitting a Sea Waybill (Express B/L) before a vessel's estimated time of arrival (ETA) in a CHERRY shipping line port?,"The deadline for submitting a Sea Waybill (Express B/L) is 12:00 noon, 1 working day before the vessel's ETA."
What contact information is mandatory for both the shipper and consignee when submitting shipping details to CHERRY shipping line?,Both the shipper and consignee must provide a phone number with the country and area code and an email address.
What is the minimum shipment value requiring formal entry for goods imported into the United States by CHERRY shipping line?,"Shipments valued over $2,500 require formal entry."
What is required for a detailed cargo description according to CHERRY shipping line compliance?,"A detailed cargo description must include a precise commodity description, the number of packages, and the type of packages (e.g., pallets, cartons, drums). Generic terms like ""Consolidated Cargo"" or ""Said to Contain"" are not accepted."
What are the documentation office hours at the Mombasa Port?,The documentation office at Mombasa Port is open from 08:00 to 17:00 on Monday to Friday and from 08:00 to 13:00 on Saturday. It is closed on Sundays and Public Holidays.
What are the document processing hours for customs at ports in Russia?,"Document processing at ports in Russia occurs Monday to Friday from 09:00 to 18:00, Saturday from 10:00 to 15:00 with limited services, and is closed on Sundays and public holidays except for special clearances."
What packaging information is required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, you need to provide the container number(s), seal number(s), container size, and type."
Are there any import restrictions on specific agricultural products to Japan?,"Yes, certain agricultural products require quarantine inspection by the Plant Protection Station or Animal Quarantine Service."
What are the requirements for shipping dangerous goods with CHERRY shipping line to Qatar?,"Shipping dangerous goods is subject to IMDG regulations and CHERRY's internal policies. Advance booking and approval are required, along with proper documentation and labeling."
What is the free time allowed for both Full Container Load (FCL) and Less than Container Load (LCL) at the port?,Both FCL and LCL have a free time of 3 days at the port.
What documentation is required for returning Chilean citizens shipping personal effects and household goods to Chile?,Returning Chilean citizens must provide proof of residence abroad.
What languages are accepted for shipping documents when shipping to Qatar?,Shipping documents for Qatar must be in Arabic or English.
What are the typical operating hours for customs in Ukraine during public holidays?,Customs operations in Ukraine are typically closed on public holidays.
What documentation is required for shipping dangerous goods with CHERRY shipping line?,A Dangerous Goods Declaration (in Danish or English) and Safety Data Sheets (SDS) in Danish or English are required.
What specific regulations apply to the import of vehicles into India by CHERRY shipping line?,The import of used vehicles into India is restricted. New vehicles must meet Indian safety and emission standards and require special approval from multiple government agencies.
What packaging details are required by CHERRY shipping line for containerized cargo?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and container type."
What is the phone number for the CHERRY Shipping Line South Africa office?,The phone number for the CHERRY Shipping Line South Africa office is not provided in the text.
What are the customs document processing hours at ports in Russia on a Saturday?,"Customs document processing at ports in Russia is available on Saturdays from 10:00 to 15:00, but with limited services."
What contact information is mandatory for both shipper and consignee details according to CHERRY shipping line?,"Phone number with country and area code, and email address are mandatory for both shipper and consignee details."
What are the maximum gross weight limits for 20' and 40' containers when shipping with CHERRY line?,"The maximum gross weight for a 20' container is 24,000 kg, and the maximum gross weight for a 40' container is 30,480 kg.  Containers exceeding these limits require special approval and will incur additional charges."
What is the maximum gross weight allowed for a 40' container shipped with CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
What is the typical free time granted for export containers at terminals serviced by CHERRY shipping line?,CHERRY shipping line typically offers 5-7 days of free time for export containers from the time they are gated in at the terminal. This free time may vary depending on the specific terminal.
What information is required for Denmark-based shippers when submitting shipping details to CHERRY shipping line?,"Denmark-based shippers must provide their full name, complete address, phone number, email address, and CVR number (Central Business Register)."
What documentation is needed to import a vehicle from outside the EU into the UK?,A vehicle from outside the EU must comply with UK safety and environmental standards and undergo the Vehicle Approval Scheme.
What is the required timeframe for electronically submitting cargo information under the Advance Filing Rules (AFR) for shipments to Japan via CHERRY shipping line?,Cargo information must be submitted electronically through the Nippon Automated Cargo and Port Consolidated System (NACCS) at least 24 hours before departure from the port of loading.
"What is the payment collection process for shipments originating from locations with ""Representative Office"" status in China?","For locations under ""Representative Office"" status, payment is collected via an Agent, subject to a handling fee."
What mandatory collect charges apply to shipments arriving in the UAE?,"The mandatory collect charges in the UAE are the Destination Delivery Order Fee, terminal handling charges at destination, and container cleaning fees (if applicable)."
What contact information is required for shippers when submitting documentation to CHERRY Shipping Line for shipments to Brazil?,Shippers must provide a phone number and an email address.
What are the customs document processing hours at the ports in Turkey on Saturdays?,"Customs document processing at ports in Turkey operates from 08:30 to 13:00 on Saturdays, with limited services available."
What are the options for obtaining a bill of lading (B/L) when shipping with CHERRY to a destination?,"CHERRY allows for the printing of B/Ls at the destination. This may incur additional fees, and the original B/L must be surrendered or a Letter of Indemnity provided."
What specific Ukrainian regulations must shipments adhere to when using CHERRY shipping line?,All shipments must comply with Ukrainian Customs Law and related regulations.
What type of packaging details are required by CHERRY shipping line for containerized cargo?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and container type."
What documents are required for customs clearance in Taiwan when importing goods?,"Customs clearance in Taiwan can be conducted by the importer or a licensed customs broker and requires documents such as a Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and a Certificate of Origin (if applicable)."
What are the required documents for customs clearance in the Philippines when importing goods?,"Required documents for customs clearance in the Philippines include a Commercial Invoice, Packing List, Bill of Lading, and a Certificate of Origin (which may be necessary for preferential tariff treatment)."
What are the mandatory contact information requirements for both the shipper and consignee when shipping with CHERRY line?,Both shipper and consignee must provide a valid email address and a phone number including the country and area code.
What is the minimum advance notice required for submitting a manifest for an import shipment with CHERRY shipping line?,A minimum of 24 hours before the vessel's arrival is required.
What is the required advance notification timeframe for vessels carrying dangerous goods arriving at U.S. ports?,Vessels carrying dangerous goods must submit Advance Notification of Security (ANOAS) at least 96 hours before arrival.
What is the required format for indicating the Cubic Meter (CBM) on a Bill of Lading for shipments with CHERRY shipping line?,"The CBM must be listed in the format XX.XX CBM (e.g., 24.50 CBM) on all Bills of Lading. For shipments involving multiple containers, the CBM for each container should be individually listed."
What are the payment options for duties and taxes when filing an entry summary with CHERRY shipping line?,"Payment options include cash, check, or electronic funds transfer. Deferred payment may be possible with prior CBP approval and appropriate bonding."
What is the minimum connection time required for transshipment of Less than Container Load (LCL) cargo according to CHERRY shipping line?,The minimum connection time required for transshipment of LCL cargo is 96 hours.
What contact details are required for the Consignee when shipping to Tanzania through CHERRY Shipping Line?,The Consignee must provide their full contact details and address. The party should be located in Tanzania.
What is the required advance notice for submitting a Dangerous Goods Declaration when shipping to a US port?,A Dangerous Goods Declaration must be submitted 96 hours prior to vessel arrival at a US port.
What packaging details are required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, you must provide the container number(s), seal number(s), container size, and container type."
What documentation is required from Denmark-based shippers when shipping with CHERRY?,"Denmark-based shippers must provide their full name, complete address, phone number, email address, and CVR number."
What are the gate operation hours for the Doraleh Multipurpose Port (DMP) on weekdays?,Gate operations at the Doraleh Multipurpose Port are open from 06:00 to 22:00 on Sunday to Thursday.
What are the maximum gross weights allowed for 20' and 40' containers shipped by CHERRY shipping line?,"The maximum gross weight for a 20' container is 24,000 kg, and the maximum gross weight for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
What are the gate operation hours at Dar es Salaam Port on a Sunday?,"On Sundays, the gate operations at Dar es Salaam Port are open from 08:00 to 16:00."
What are the general requirements for importing used vehicles into Argentina?,The import of used vehicles into Argentina is generally prohibited. Exceptions exist for returning Argentinean residents who have lived abroad for over two years (one car per person) and for classic or antique vehicles older than 30 years. New vehicles must comply with Argentinean safety and emission standards and require special documentation.
What documentation is required for Indonesia-based shippers when sending goods via CHERRY Shipping Line?,"Indonesia-based shippers must provide their full name, complete address, phone number, email address, and NPWP (Nomor Pokok Wajib Pajak)."
What currency is preferred for local charges in Ukraine when shipping with CHERRY?,The Ukrainian Hryvnia (UAH) is the preferred currency for local charges.
What tax identification information is required for the consignee and notify party when shipping to Argentina?,"Both the consignee and notify party must provide their full name, complete address, phone number, email address, and Tax ID (CUIT - Clave Única de Identificación Tributaria)."
Can I get a printed Bill of Lading at my destination port for shipments with CHERRY?,"Yes, printed Bills of Lading are acceptable at the destination port. However, additional fees may apply. You will need to surrender the original Bill of Lading or provide a Letter of Indemnity."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
"In China, which cities have CHERRY Shipping Line branch offices authorized to collect payments?","CHERRY Shipping Line has branch offices in Shanghai, Dalian, Qingdao, Nanjing, Tianjin, Ningbo, Xiamen, Guangzhou, Zhongshan, and Shenzhen eligible to collect payment."
What type of Bill of Lading is encouraged by CHERRY Shipping Line for shipments to Australia?,CHERRY Shipping Line encourages the use of Electronic Bill of Lading (e-B/L) for faster processing.
What are the gate operation hours at Izmir Port on a Saturday?,Gate operations at Izmir Port are open from 08:00 to 16:00 on Saturdays.
What is the deadline for submitting a Sea Waybill (Express B/L) for a shipment with CHERRY shipping line?,"The deadline for submitting a Sea Waybill (Express B/L) is 12:00 noon, 1 working day before the vessel's estimated time of arrival (ETA)."
What is the required import declaration document in Indonesia and how should it be submitted?,"The required import declaration document in Indonesia is the PIB (Pemberitahuan Impor Barang), which must be submitted electronically through INSW (Indonesia National Single Window)."
What packaging details are required for shipments to be compliant with CHERRY shipping line regulations?,"Both outer and inner packaging details must be provided, including the type of packaging (e.g., cartons, pallets, drums), the number of pieces per package type, and the total number of packages.  For containerized cargo, the container number(s), seal number(s), container size, and type must also be provided."
What is the required registration status of both the consignee and notify party for shipments handled by CHERRY shipping line when destined for the UAE?,Both the consignee and the notify party must be companies registered in the UAE.
What documents are required for customs clearance in Djibouti?,"Customs clearance in Djibouti must be handled by a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What types of Bills of Lading does CHERRY Shipping Line accept for shipments to/from the United States of America?,"CHERRY Shipping Line accepts Original Bill of Lading (OBL), Sea Waybill (SWB), and Electronic Bill of Lading (e-B/L) for shipments to/from the United States of America."
What language is required for the detailed inventory list of personal effects and household goods shipped to Brazil?,Portuguese.
What advance notification is required for shipments of live animals to the UAE via CHERRY shipping line?,Shipments of live animals to the UAE via CHERRY shipping line require advance notification 48 hours prior to arrival.
What are the gate operation hours at Izmir Port?,"Monday to Friday: 08:00 - 24:00, Saturday: 08:00 - 16:00, Sunday and Public Holidays: Closed."
What documentation is needed for importing agricultural products into South Korea?,Agricultural products may require phytosanitary certificates.
What tax identification information is required for consignees located in Kenya when shipping with CHERRY?,"Local (Kenyan) customers must provide their 11 alphanumeric customs PIN NO (e.g., P051136562B) in the address."
What is the deadline for surrendering the original bill of lading for import shipments to CHERRY shipping line?,The original bill of lading must be surrendered at least one working day before the vessel's arrival.
What is the required timeframe for filing a customs entry for shipments arriving in the United States?,Entry must be filed within 15 calendar days of cargo arrival.
What contact information is mandatory for both shipper and consignee details when shipping to Ukraine via CHERRY shipping line?,Phone number and email address are mandatory contact information for both shipper and consignee details.
What are the demurrage charges for a 40' dry container exceeding the free time after vessel ETD for an export shipment?,Demurrage charges for a 40' dry container exceeding the free time after vessel ETD for an export shipment are USD 50 per day for days 8-14 and USD 150 per day for day 15 onwards.
What type of information is required for the cargo description on a bill of lading for shipments with CHERRY shipping line?,"The cargo description must be detailed and accurate, including the precise commodity description, number of packages, and type of packages. Vague descriptions, prohibited terms like ""Said to Contain"" or ""Freight of All Kinds (FAK),"" and general terms are not acceptable. For chemicals, the CAS number, UN number, and hazard class must be included. For textiles, provide the fiber content, construction, and any special finishes."
What is the required timeframe for submitting an AMS filing when shipping goods to the United States via CHERRY shipping line?,An AMS filing must be submitted 24 hours before vessel loading at the foreign port.
What are the free time allowances for general cargo and reefer containers when shipping with CHERRY?,"General cargo has a free time allowance of 5 days, while reefer containers have a free time allowance of 3 days. Demurrage and detention charges will apply after the free time period, as per CHERRY's standard tariff."
What are the regular working hours for customs in the United States?,"Customs in the United States typically operate from Monday to Friday, between 08:30 and 16:30.  Extended hours may be available for urgent clearances, subject to additional fees."
What contact information is mandatory for both the shipper and the consignee when booking a shipment with CHERRY shipping line?,"For both the shipper and consignee, an email address and a phone number with the country and area code are mandatory."
Are phytosanitary certificates needed for all agricultural products shipped with CHERRY?,Phytosanitary certificates may be required for plants and plant products.
What is the maximum declared value for personal effects/household goods shipped with CHERRY?,"The maximum declared value for personal effects/household goods shipped with CHERRY is USD 3,000 per shipment."
What is the age restriction for used passenger vehicles being imported into the UAE by CHERRY shipping line?,Used passenger vehicles imported into the UAE by CHERRY shipping line must not be older than 5 years.
What is the deadline for providing detailed cargo specifications for project cargo shipments handled by CHERRY shipping line?,Detailed cargo specifications for project cargo shipments must be provided 14 days before the vessel's arrival.
What contact information is required for both shipper and consignee details for shipments to the EU?,"For EU shipments, both shipper and consignee details require a full name, complete address, phone number with country and area code, email address, and VAT number."
What documentation is required for Indonesia-based shippers when using CHERRY shipping line?,"Indonesia-based shippers need to provide their full name, complete address, phone number, email address, and NPWP (Nomor Pokok Wajib Pajak)."
"According to CHERRY shipping line's requirements, what information is mandatory for the notify party in a ""To Order"" Bill of Lading for shipments to the UAE?","For ""To Order"" Bills of Lading, the notify party must include their UAE trade license number."
What is the minimum required level of detail for the description of goods shipped by CHERRY shipping line?,"A detailed and accurate description of goods is mandatory, using precise commodity descriptions and avoiding vague terms like ""Said to Contain"". The description must also include the number and type of packages."
What is the maximum length allowed for the booking number format used by CHERRY shipping line?,The maximum length allowed for the booking number format is 20 characters.
What mandatory collect charges apply to shipments arriving in the UAE?,"The mandatory collect charges in the UAE are the Destination Delivery Order Fee, terminal handling charges at destination, and container cleaning fees (if applicable)."
What are the normal working hours for customs clearance in Thailand?,"Normal customs working hours in Thailand are Monday to Friday, from 08:30 to 16:30."
What are the required contact details for both the shipper and consignee when shipping to Djibouti or Ethiopia with CHERRY Shipping Line?,"For both the shipper and consignee, a full name and postal address including country are required. Additionally, a phone number and email address are mandatory. If the consignee is a bank, the full details and address of the bank located in Djibouti or Ethiopia must be provided."
What are the restrictions on shipping cargo to Jordan through CHERRY shipping line?,"CHERRY shipping line prohibits the shipment of narcotics, psychotropic substances, weapons and ammunition without proper permits, pornographic materials, Israeli goods or goods containing Israeli components, and used clothing to Jordan."
What is the deadline for submitting an original bill of lading for an import shipment to CHERRY shipping line?,The original bill of lading must be surrendered to CHERRY shipping line a minimum of one working day before the vessel's arrival.
What are the specific regulations regarding food and agricultural products shipped to/from Saudi Arabia?,Food and agricultural products are subject to strict regulations and inspections by Saudi Arabian authorities and may require additional certificates from the country of origin.
Can part load bills of lading be used for shipments to Qatar with CHERRY shipping line?,"Yes, part load bills of lading are acceptable for shipments to Qatar with CHERRY shipping line, but the consignee must be the same on all bills of lading."
What contact information should be used for queries or clarifications regarding shipments to/from India with CHERRY Shipping Line?,You can reach CHERRY Shipping Line India Office at the following: Address: [Insert detailed address] Phone: [Insert phone number] Email: [Insert email address] Operating Hours: [Insert hours] 24/7 Emergency Contact: [Insert emergency number]
What are the gate operation hours for Dar es Salaam Port on a Saturday?,The gate operation hours for Dar es Salaam Port on a Saturday are from 06:00 to 18:00.
